Key,Value
about_internal_strings,이 문자열 테이블 모음은 FALL.EXE에 하드코딩되었던 텍스트와 대거폴 유니티 고유의 텍스트를 저장합니다.
pleaseSelectYourHomeProvince,고향 주를 선택하십시오...
saveGame,게임 저장
loadGame,게임 불러오기
thingJustDied,%s 사망이 확인되었습니다.
gameSaved,게임이 저장되었습니다.
gameLoaded,게임이 불러와졌습니다.
thisHouseHasNothingOfValue,이 집에는 가치 있는 것이 없습니다.
findLocationPrompt,장소 이름을 입력하십시오 :
rightHandEquipped,오른손이 장착되었습니다.
leftHandEquipped,왼손이 장착되었습니다.
usingRightHand,오른손의 무기를 사용 중입니다.
usingLeftHand,왼손의 무기를 사용 중입니다.
itemHasBroken,%s 파손이 확인되었습니다.
itemHasBrokenPlural,%s 파손이 확인되었습니다.
cannotCarryGold,그만큼의 금을 운반할 수 없습니다.
cannotFloat,너무 많이 운반하고 있어 물에 뜰 수 없습니다.
youHaveNoArrows,화살이 없습니다.
oldSaveNoTrade,이전 실내 저장 파일이 불러와졌습니다. 거래 창이 작동하지 않으니 건물을 나갔다가 다시 들어오십시오.
theBodyHasNoTreasure,시체에 보물이 없습니다.
youAreTooFarAway,너무 멀리 있습니다...
youSeeAn,%s의 모습이 보입니다.
youSeeA,%s의 모습이 보입니다.
youSeeADeadPerson,죽은 사람이 보입니다.
youSeeADead,죽은 %s의 모습이 보입니다.
youCollectArrows,시체에서 화살을 뽑아냈습니다.
loiterHowManyHours,몇 시간 동안 배회하시겠습니까 :
restHowManyHours,몇 시간 동안 휴식하시겠습니까 :
potionRecipeFor,%po의 물약 제조법
potionRecipeWeight,무게: %kg 킬로그램
potionOf,%po의 물약
letterPrefix,편지:
multipleAssignments,여러 개의 임무를 수행 중입니다...
youAreEntering,%s에 들어갑니다.
storeClosed,상점이 닫혔습니다. %d1:00부터 %d2:00까지 영업합니다.
guildClosed,길드가 닫혔습니다. %d1:00부터 %d2:00까지 영업합니다.
any,아무 %s
arkayDesc,탄생과 죽음의 신
zenDesc,노동과 상업의 신
maraDesc,사랑의 여신
akatoshDesc,시간의 신
julianosDesc,논리의 신
dibellaDesc,미의 여신
stendarDesc,자비의 신
kynarethDesc,공기의 여신
interactionIsNowInMode,상호작용이 현재 %s 모드입니다.
steal,훔치기
grab,잡기
info,정보
dialogue,대화
residence,거주지
youSee,%s의 모습이 보입니다.
theNamedResidence,%s 거주지
playerResidence,%s의 집
materialIneffective,사용 중인 무기의 재질이 효과가 없습니다.
successfulBackstab,기습 공격 성공!
languagePacified,%s 기술을 사용하여 %e 진정에 성공했습니다.
lockpickingSuccess,자물쇠가 딸깍하며 열립니다.
lockpickingFailure,열리지 않습니다.
magicLock,마법으로 잠긴 자물쇠입니다...
lockpickChance1,이 자물쇠는 당신을 두려워하지 않습니다...
lockpickChance2,이 자물쇠를 따는 것은 기적일 것입니다...
lockpickChance3,이 자물쇠는 당신의 실력 밖인 것 같습니다...
buildingNames,"아카토쉬 신전
아케이 신전
디벨라 신전
줄리아노스 신전
키나레스 신전
마라 신전
스텐다르 신전
젠 신전
까마귀 기사단
용 기사단
부엉이 기사단
촛불 기사단
불꽃 기사단
뿔의 군세
장미 기사단
바퀴 기사단
쇠똥구리 기사단
매 기사단
마법사 길드
전사 길드
여관
도서관
무기 대장장이
갑옷 제작자
연금술사
은행
서점
의류점
보석상
전당포"
lockpickChance,"이 자물쇠를 열 수 있을지 의문입니다...
이 자물쇠는 어려워 보입니다...
이 자물쇠는 당신에게 도전이 될 것입니다...
이 자물쇠는 좋은 도전이 될 것입니다...
이 자물쇠는 딸 수 있을 것 같습니다...
이 자물쇠는 비교적 쉬워 보입니다...
이 자물쇠를 보니 재미있군요...
이 자물쇠의 아마추어 같은 수준에 웃음이 나옵니다...
한심한 수준의 자물쇠가 보입니다...
이 자물쇠는 당신의 실력에 대한 모욕입니다..."
youPinchedGoldPiece,금화 1닢을 훔쳤습니다.
youPinchedGoldPieces,금화 %d닢을 훔쳤습니다.
youAreNotSuccessful,성공하지 못했습니다...
daysUntilFreedom,자유까지 %d일 남았습니다.
skillImprove,%s 기술이 향상되었습니다.
mustDistributeBonusPoints,모든 보너스 포인트를 분배해야 합니다.
enterNewName,새 이름을 입력하십시오 :
affiliation,소속
rank,계급
serviceQuests,퀘스트 받기
serviceSell,판매
serviceBanking,은행 업무
serviceIdentify,감정
serviceBuySpells,주문 구매
serviceTraining,훈련
serviceTeleport,순간이동
serviceMakeSpells,주문 제작
serviceBuyMagicItems,마법 아이템 구매
serviceSellMagicItems,마법 아이템 판매
serviceDaedraSummon,데이드라 소환
serviceMakeMagicItems,마법 아이템 제작
serviceRepairs,수리
serviceDonate,기부하기
serviceCure,질병 치료
serviceSpymaster,첩보대장
serviceMakePotions,물약 제조
serviceBuyPotions,물약 구매
serviceBuySoulgems,영혼석 구매
serviceReceiveArmor,갑옷 받기
serviceReceiveHouse,집 받기
serviceReceiveHouseAlready,이미 집을 받으셨습니다.
accessMembersOnly,여기에 접근하려면 충분한 계급의 일원이어야 합니다.
serviceCured,치유되었습니다.
serviceSummonCost1,"%pcn, 제가 시도하는 비용은"
serviceSummonCost2,%dae 소환 비용은
serviceSummonCost3,골드입니다.
roomFreeForKnightSuchAsYou,당신 같은 기사에게는 방을 무료로 제공합니다.
roomFreeDueToHeartsDay,마음의 날이라 방이 무료입니다.
youAreNotHungry,배고프지 않습니다.
exhaustedInWater,피로가 몰려와 당신을 물속의 무덤으로 보냅니다....
youFeelSomewhatBad,몸 상태가 좋지 않습니다.
avoidDeath,"스텐다르의 자비로, 죽음의 문턱에서 살아남았습니다!"
pronounHe,그
