Key,Value
0,"힘[/center]
힘은 소지 중량, 무기 피해[/left]
및 힘 관련 기술 향상의 용이성을 결정합니다.[/left]
힘이 %str 인 당신은 %ark[/left] 수준으로 간주됩니다.
[/pos:x=20,y=0]%dam [/pos:x=40,y=0]보정치가 당신의[/left]
[/pos:x=40,y=0]맨손 격투 / 무기 피해에 반영됩니다.[/left]
[/pos:x=20,y=0]%enc [/pos:x=40,y=0]킬로그램이 최대 소지 중량입니다.[/left]
[/end]"
1,"지능[/center]
지능은 총 마법 잠재력[/left]
및 지능 관련 기술 향상의 용이성을 결정합니다.[/left]
지능이 %int 인 당신의 상태는 %ark 수준입니다.[/left]
[/pos:x=20,y=0]%spt 중 %spc 의 주문 점수를 시전에 사용할 수 있습니다.[/left]
[/end]"
2,"의지력[/center]
의지력은 주문 효과에 대한 저항력[/left]
및 의지력 관련 기술 향상의 용이성을 결정합니다.[/left]
의지력이 %wil 인 당신의 상태는 %ark 수준입니다.[/left]
[/pos:x=20,y=0]+%mad [/pos:x=40,y=0]보정치가 마법 저항력에 반영됩니다.[/left]
[/end]"
3,"민첩성[/center]
민첩성은 대상을 타격하고,[/left]
공격을 회피하며, 민첩성 관련 기술을 쉽게[/left]
향상시키는 능력을 결정합니다. 현재 민첩성 %agi 수치로,[/left]
당신의 상태는 %ark 수준입니다.[/left]
[/pos:x=20,y=0]%thd [/pos:x=40,y=0]보정치가 전투 확률에 반영됩니다.[/left]
[/end]"
4,"지구력[/center]
지구력은 체력, 치유 속도,[/left]
독과 질병에 대한 저항력, 그리고 피로도를 결정합니다.[/left]
지구력이 %end 인 당신의 상태는 %ark 수준입니다.[/left]
[/pos:x=20,y=0]%hea [/pos:x=40,y=0]보정치가 레벨업 시 획득하는[/left]
[/pos:x=40,y=0]체력 수치에 반영됩니다.[/left]
[/pos:x=20,y=0]%hmd [/pos:x=40,y=0]보정치가 치유 속도에 반영됩니다.[/left]
[/end]"
5,"매력[/center]
매력은 매력 관련 기술을 쉽게[/left]
향상시키는 능력을 결정합니다.[/left]
현재 매력 %per 수치로, 당신의 상태는 %ark 수준입니다.[/left]
[/end]"
6,"속도[/center]
속도는 이동 속도, 원거리 무기 재장전 시간,[/left]
및 모든 속도 관련 기술을 결정합니다.[/left]
속도가 %spd 인 당신의 상태는 %ark 수준입니다.[/left]
[/end]"
7,"행운[/center]
행운은 당신이 취하는 모든 행동에 강력한 보정치를 부여합니다.[/left]
행운이 주 능력치인 기술은 없지만,[/left]
모든 기술 판정에서 성공 확률이 당신의 행운에 의해[/left]
보정됩니다.[/left]
당신의 행운은 %luc 개체가며, 이는 %ark 쪽으로 간주됩니다.[/left]
[/end]"
8,"훈련 비용은 %a 입니다.[/center]
훈련을 받으시겠습니까?[/end]"
10,%fcn 에 하나 있는 것 같습니다.[/end]
